throughput_mbps,bytes_per_packet,packet_rate,port_asymmetry,rx_throughput_mbps,utilization,jitter_mbps,burstiness,rx_tx_ratio,tx_error_rate,rx_error_rate,idle_flag,traffic_type
2.283893,241.91,1180.1408,0.0,0.0,0.022839,1.096939,0.761512,0.0,0.0,0.0,0,GAMING
60.401027,1500.0,420.6279,10.3629,0.199284,0.60401,26.154412,1.732051,0.003299,0.0,0.0,0,HTTP
9.200298,1357.46,847.1994,0.0,0.0,0.092003,1.253821,0.122754,0.0,0.0,0.0,0,VIDEO
0.047456,1315.64,4.5088,0.0,0.0,0.000475,0.020453,1.700022,0.0,0.0,0.0,0,ICMP
0.012457,1442.0,1.0798,0.0,0.012636,0.000125,0.018723,1.286318,1.014424,0.0,0.0,0,ICMP
0.043635,1260.7,4.3265,13.0435,0.0434,0.000436,0.021992,0.992509,0.99462,0.0,0.0,0,ICMP
2.285996,241.94,1181.0781,0.0,0.0,0.02286,0.075625,0.031486,0.0,0.0,0.0,0,GAMING
2.448624,242.0,1264.7853,0.0,0.000254,0.024486,0.112983,0.046382,0.000104,0.0,0.0,0,GAMING
81.963668,1500.0,533.2494,9.2671,0.255464,0.819637,36.67505,1.013154,0.003117,0.0,0.0,0,HTTP
0.01672,1442.0,1.4494,0.0,0.016946,0.000167,0.018368,1.191278,1.013523,0.0,0.0,0,ICMP
10.660035,1357.17,981.8244,0.0,0.0,0.1066,0.223007,0.021046,0.0,0.0,0.0,0,VIDEO
2.644542,241.94,1366.331,0.0,0.0,0.026445,0.585912,0.278208,0.0,0.0,0.0,0,GAMING
0.021264,1442.0,1.8433,0.0,0.02152,0.000213,0.01998,1.143172,1.01202,0.0,0.0,0,ICMP
9.827604,1358.0,904.6027,0.0,0.000159,0.098276,0.478634,0.045685,1.6e-05,0.0,0.0,0,VIDEO
2.367878,241.91,1223.5362,0.0,0.0,0.023679,0.109788,0.044671,0.0,0.0,0.0,0,GAMING
2.454004,242.0,1267.5639,0.0,0.000168,0.02454,1.017942,1.103887,6.8e-05,0.0,0.0,0,GAMING
0.018376,66.71,34.4307,0.0,3.085964,0.000184,0.007859,1.64985,2.0,0.0,0.0,0,HTTP
60.416863,1500.0,419.3912,10.7729,0.197769,0.604169,26.161269,1.732051,0.003273,0.0,0.0,0,HTTP
10.518726,1357.45,968.6112,0.0,0.0,0.105187,0.103862,0.00974,0.0,0.0,0.0,0,VIDEO
2.300862,242.0,1188.4618,0.0,0.000236,0.023009,0.090021,0.03778,0.000102,0.0,0.0,0,GAMING
2.369873,241.94,1224.416,0.0,0.0,0.023699,0.248788,0.109091,0.0,0.0,0.0,0,GAMING
2.22292,241.94,1148.4884,0.0,0.0,0.022229,0.116726,0.048973,0.0,0.0,0.0,0,GAMING
0.026541,1144.14,2.8997,0.0,0.0,0.000265,0.010806,1.281911,0.0,0.0,0.0,0,ICMP
0.038778,1442.0,3.3615,0.0,0.039025,0.000388,0.021306,1.006971,1.006364,0.0,0.0,0,ICMP
2.460079,242.0,1270.7018,0.0,0.000168,0.024601,0.073858,0.030081,6.8e-05,0.0,0.0,0,GAMING
8.607741,1353.91,794.7118,0.0,0.000913,0.086077,3.727178,1.731896,0.000106,0.0,0.0,0,VIDEO
2.791985,242.0,1442.1412,0.0,0.000288,0.02792,1.14006,1.207583,0.000103,0.0,0.0,0,GAMING
10.408655,1357.17,958.6702,0.0,0.0,0.104087,0.487784,0.047673,0.0,0.0,0.0,0,VIDEO
11.82518,1500.0,92.5032,7.8838,0.045166,0.118252,31.714151,0.866892,0.003819,0.0,0.0,0,HTTP
2.691912,242.0,1390.4503,0.0,0.000279,0.026919,0.162701,0.067038,0.000104,0.0,0.0,0,GAMING
0.035837,1196.71,3.7433,41.1765,0.025401,0.000358,0.015406,1.683167,0.708808,0.0,0.0,0,ICMP
0.049729,1315.64,4.7248,9.0909,0.04955,0.000497,0.020548,0.858596,0.996407,0.0,0.0,0,ICMP
10.232197,1357.18,942.4142,0.0,0.0,0.102322,1.188211,0.113363,0.0,0.0,0.0,0,VIDEO
30.942507,1500.0,224.5362,10.0167,0.106914,0.309425,25.950883,0.707922,0.003455,0.0,0.0,0,HTTP
0.04759,1442.0,4.1254,0.0,0.047762,0.000476,0.020607,1.732051,1.003606,0.0,0.0,0,ICMP
38.153884,1500.0,271.8212,10.6336,0.128507,0.381539,24.969341,0.693788,0.003368,0.0,0.0,0,HTTP
